date,platform,content,likes,shares,comments
2022-10-31,Instagram,Rejoignez notre programme fidelite.,1393,380,296
2023-04-25,Instagram,"Commandez avant midi, livraison le lendemain !",208,315,171
2024-03-22,LinkedIn,Rejoignez notre programme fidelite.,2473,224,56
2024-06-05,TikTok,Paiement en 3 fois sans frais sur nos smartphones.,2699,176,131
2022-07-11,LinkedIn,Paiement en 3 fois sans frais sur nos smartphones.,3402,94,252
2022-09-04,Facebook,Rejoignez notre programme fidelite.,2158,410,21
2022-04-15,Facebook,Flash sale : 48h de promotions exceptionnelles !,4087,108,227
2023-09-15,Twitter,Paiement en 3 fois sans frais sur nos smartphones.,1357,85,119
2022-10-28,Facebook,"Commandez avant midi, livraison le lendemain !",3302,223,85
2023-04-22,TikTok,Paiement en 3 fois sans frais sur nos smartphones.,4765,63,300
2024-01-27,TikTok,"Commandez avant midi, livraison le lendemain !",1156,428,280
2024-02-12,TikTok,Livraison gratuite sur toutes les commandes > 50 EUR.,939,431,214
2023-03-20,Instagram,Flash sale : 48h de promotions exceptionnelles !,2325,493,196
2023-08-21,Instagram,Rejoignez notre programme fidelite.,3552,487,90
2023-09-16,Twitter,Rejoignez notre programme fidelite.,256,198,284
2022-09-06,TikTok,Rejoignez notre programme fidelite.,1554,290,270
2023-03-17,Facebook,Nouvelle collection disponible ! -20% ce weekend.,4587,112,285
2022-11-22,Facebook,Rejoignez notre programme fidelite.,3202,214,36
2022-02-10,Twitter,Flash sale : 48h de promotions exceptionnelles !,104,95,32
2023-05-06,TikTok,Rejoignez notre programme fidelite.,1875,78,260
2023-04-05,Instagram,Rejoignez notre programme fidelite.,4947,59,61
2022-12-24,TikTok,Paiement en 3 fois sans frais sur nos smartphones.,1658,500,205
2022-12-03,Instagram,Livraison gratuite sur toutes les commandes > 50 EUR.,1072,214,296
2023-02-27,Facebook,Rejoignez notre programme fidelite.,3702,103,254
2024-05-24,Twitter,Nouvelle collection disponible ! -20% ce weekend.,1296,397,113
2022-11-23,Instagram,Paiement en 3 fois sans frais sur nos smartphones.,767,274,59
2023-07-23,Twitter,"Commandez avant midi, livraison le lendemain !",3429,88,149
2023-04-03,Twitter,Nouvelle collection disponible ! -20% ce weekend.,1858,324,103
2024-06-16,TikTok,Flash sale : 48h de promotions exceptionnelles !,4337,500,54
2023-02-28,Facebook,"Commandez avant midi, livraison le lendemain !",3251,462,286
2022-10-10,Instagram,Livraison gratuite sur toutes les commandes > 50 EUR.,4998,303,103
2023-09-13,Twitter,Rejoignez notre programme fidelite.,3201,462,25
2022-12-03,Facebook,Paiement en 3 fois sans frais sur nos smartphones.,339,140,25
2022-04-27,TikTok,Livraison gratuite sur toutes les commandes > 50 EUR.,4944,406,18
2023-06-13,LinkedIn,Nouvelle collection disponible ! -20% ce weekend.,2909,420,265
2022-01-07,Instagram,Nouvelle collection disponible ! -20% ce weekend.,3148,430,12
2024-01-10,LinkedIn,Livraison gratuite sur toutes les commandes > 50 EUR.,4436,55,117
2023-05-31,Instagram,Flash sale : 48h de promotions exceptionnelles !,4554,13,138
2023-04-01,TikTok,Rejoignez notre programme fidelite.,2751,265,283
2024-06-14,Twitter,Flash sale : 48h de promotions exceptionnelles !,4767,2,125
2023-11-25,TikTok,"Commandez avant midi, livraison le lendemain !",1153,152,62
2022-05-24,Instagram,"Commandez avant midi, livraison le lendemain !",3313,325,203
2022-08-30,TikTok,Livraison gratuite sur toutes les commandes > 50 EUR.,368,381,291
2023-09-24,LinkedIn,Livraison gratuite sur toutes les commandes > 50 EUR.,4355,7,145
2022-08-17,Facebook,Livraison gratuite sur toutes les commandes > 50 EUR.,3895,424,255
2024-05-31,TikTok,Rejoignez notre programme fidelite.,943,120,222
2022-06-20,LinkedIn,"Commandez avant midi, livraison le lendemain !",1600,173,187
2024-01-25,Twitter,"Commandez avant midi, livraison le lendemain !",362,495,199
2022-10-03,Facebook,Nouvelle collection disponible ! -20% ce weekend.,3354,268,83
2022-10-04,Instagram,"Commandez avant midi, livraison le lendemain !",2377,32,143
2022-10-14,LinkedIn,Livraison gratuite sur toutes les commandes > 50 EUR.,2153,20,73
2024-06-25,LinkedIn,Flash sale : 48h de promotions exceptionnelles !,2140,204,227
2022-07-23,LinkedIn,Livraison gratuite sur toutes les commandes > 50 EUR.,4954,73,169
2024-06-05,Instagram,Livraison gratuite sur toutes les commandes > 50 EUR.,780,456,223
2023-11-02,LinkedIn,Paiement en 3 fois sans frais sur nos smartphones.,650,68,241
2022-11-13,TikTok,Rejoignez notre programme fidelite.,1551,125,77
2023-10-07,Facebook,"Commandez avant midi, livraison le lendemain !",1625,102,225
2022-05-03,LinkedIn,Flash sale : 48h de promotions exceptionnelles !,63,338,275
2022-10-09,TikTok,Flash sale : 48h de promotions exceptionnelles !,3379,267,192
2024-03-10,Twitter,Rejoignez notre programme fidelite.,4160,251,215
2022-05-18,LinkedIn,Rejoignez notre programme fidelite.,13,70,209
2022-08-13,Instagram,Livraison gratuite sur toutes les commandes > 50 EUR.,3323,12,100
2022-05-03,Facebook,Rejoignez notre programme fidelite.,89,115,200
2023-09-25,TikTok,"Commandez avant midi, livraison le lendemain !",4755,312,220
2023-05-13,TikTok,Paiement en 3 fois sans frais sur nos smartphones.,3749,269,129
2022-06-02,LinkedIn,Nouvelle collection disponible ! -20% ce weekend.,2915,324,130
2024-03-21,Instagram,Flash sale : 48h de promotions exceptionnelles !,4059,90,59
2024-01-05,Facebook,Nouvelle collection disponible ! -20% ce weekend.,1223,427,299
2023-06-10,TikTok,Flash sale : 48h de promotions exceptionnelles !,820,400,186
2023-04-10,Instagram,Rejoignez notre programme fidelite.,3380,270,140
2022-01-01,Twitter,Nouvelle collection disponible ! -20% ce weekend.,3425,157,285
2024-06-22,Twitter,"Commandez avant midi, livraison le lendemain !",690,268,162
2023-08-29,Facebook,Paiement en 3 fois sans frais sur nos smartphones.,2226,229,181
2023-12-24,Facebook,Flash sale : 48h de promotions exceptionnelles !,4323,234,69
2023-06-08,Instagram,"Commandez avant midi, livraison le lendemain !",4860,184,267
2024-02-08,LinkedIn,Flash sale : 48h de promotions exceptionnelles !,4671,418,217
2022-04-12,Twitter,Nouvelle collection disponible ! -20% ce weekend.,4970,8,43
2022-05-31,Instagram,"Commandez avant midi, livraison le lendemain !",3286,401,148
2022-03-21,Twitter,Nouvelle collection disponible ! -20% ce weekend.,4001,365,146
2023-04-16,LinkedIn,"Commandez avant midi, livraison le lendemain !",949,493,64
2024-05-11,Instagram,Nouvelle collection disponible ! -20% ce weekend.,3963,300,298
2022-12-03,Twitter,Paiement en 3 fois sans frais sur nos smartphones.,1470,198,242
2024-06-23,Instagram,Livraison gratuite sur toutes les commandes > 50 EUR.,196,119,258
2022-08-14,Twitter,Nouvelle collection disponible ! -20% ce weekend.,2655,125,55
2023-07-10,LinkedIn,Rejoignez notre programme fidelite.,1483,422,167
2023-05-06,Twitter,Rejoignez notre programme fidelite.,3480,273,112
2024-04-10,Twitter,Rejoignez notre programme fidelite.,1846,71,154
2022-02-01,LinkedIn,Nouvelle collection disponible ! -20% ce weekend.,3979,65,198
2022-06-02,LinkedIn,Livraison gratuite sur toutes les commandes > 50 EUR.,338,229,63
2023-06-21,TikTok,Rejoignez notre programme fidelite.,791,128,158
2022-05-13,Twitter,Flash sale : 48h de promotions exceptionnelles !,2805,154,31
2023-09-25,Instagram,Flash sale : 48h de promotions exceptionnelles !,4377,294,296
2023-08-15,Twitter,"Commandez avant midi, livraison le lendemain !",4221,395,258
2024-04-23,Twitter,"Commandez avant midi, livraison le lendemain !",1267,99,162
2022-10-02,Facebook,Livraison gratuite sur toutes les commandes > 50 EUR.,4968,134,83
2023-08-09,Instagram,Rejoignez notre programme fidelite.,1635,172,43
2023-09-04,TikTok,Flash sale : 48h de promotions exceptionnelles !,1625,164,37
2022-10-06,TikTok,Paiement en 3 fois sans frais sur nos smartphones.,4866,365,57
2023-08-21,TikTok,Paiement en 3 fois sans frais sur nos smartphones.,4695,425,247
2023-02-02,Facebook,"Commandez avant midi, livraison le lendemain !",1999,402,108
2023-09-07,Instagram,Flash sale : 48h de promotions exceptionnelles !,2515,241,10
2022-03-10,LinkedIn,Livraison gratuite sur toutes les commandes > 50 EUR.,1006,425,66
2024-01-27,Instagram,Rejoignez notre programme fidelite.,4566,6,12
2022-12-26,LinkedIn,Livraison gratuite sur toutes les commandes > 50 EUR.,3088,11,39
2023-10-19,Twitter,"Commandez avant midi, livraison le lendemain !",4747,348,34
2022-05-29,Instagram,Livraison gratuite sur toutes les commandes > 50 EUR.,3848,346,68
2022-11-10,TikTok,Nouvelle collection disponible ! -20% ce weekend.,4917,189,140
2023-04-21,Facebook,Rejoignez notre programme fidelite.,3890,138,130
2023-06-28,Twitter,"Commandez avant midi, livraison le lendemain !",1693,178,221
2024-06-23,Twitter,Nouvelle collection disponible ! -20% ce weekend.,594,70,35
2024-06-10,Twitter,Livraison gratuite sur toutes les commandes > 50 EUR.,2721,122,236
2022-05-29,TikTok,Livraison gratuite sur toutes les commandes > 50 EUR.,1667,193,248
2022-07-12,Twitter,Paiement en 3 fois sans frais sur nos smartphones.,1487,169,213
2023-08-26,LinkedIn,Paiement en 3 fois sans frais sur nos smartphones.,1363,257,84
2022-09-02,TikTok,Flash sale : 48h de promotions exceptionnelles !,1142,174,257
2022-03-04,TikTok,Flash sale : 48h de promotions exceptionnelles !,4319,441,275
2022-01-29,Instagram,Rejoignez notre programme fidelite.,4532,424,112
2022-09-13,TikTok,Flash sale : 48h de promotions exceptionnelles !,3281,426,17
2022-09-05,TikTok,Paiement en 3 fois sans frais sur nos smartphones.,4821,429,120
2024-05-01,Twitter,Rejoignez notre programme fidelite.,311,263,206
2022-06-09,TikTok,Flash sale : 48h de promotions exceptionnelles !,16,138,216
2023-11-07,TikTok,Nouvelle collection disponible ! -20% ce weekend.,4268,60,7
2023-10-16,TikTok,Paiement en 3 fois sans frais sur nos smartphones.,4471,443,131
2023-10-02,Twitter,Rejoignez notre programme fidelite.,3427,269,216
2022-03-11,Twitter,Flash sale : 48h de promotions exceptionnelles !,827,452,143
2022-05-09,LinkedIn,Paiement en 3 fois sans frais sur nos smartphones.,477,93,298
2022-01-30,Twitter,"Commandez avant midi, livraison le lendemain !",3254,169,297
2024-02-07,Twitter,Flash sale : 48h de promotions exceptionnelles !,2993,361,16
2023-01-15,LinkedIn,"Commandez avant midi, livraison le lendemain !",4025,461,58
2023-06-11,Facebook,Nouvelle collection disponible ! -20% ce weekend.,675,431,25
2023-02-25,Instagram,Paiement en 3 fois sans frais sur nos smartphones.,4884,22,270
2023-05-07,TikTok,Nouvelle collection disponible ! -20% ce weekend.,3460,70,56
2024-03-26,Instagram,Nouvelle collection disponible ! -20% ce weekend.,1668,5,224
2022-11-18,TikTok,Paiement en 3 fois sans frais sur nos smartphones.,2509,178,146
2023-04-11,Facebook,Livraison gratuite sur toutes les commandes > 50 EUR.,4602,197,113
2023-04-05,LinkedIn,Paiement en 3 fois sans frais sur nos smartphones.,476,10,236
2024-06-01,LinkedIn,Nouvelle collection disponible ! -20% ce weekend.,2424,147,117
2022-04-18,Twitter,Paiement en 3 fois sans frais sur nos smartphones.,940,349,168
2024-02-05,Twitter,Paiement en 3 fois sans frais sur nos smartphones.,3676,55,44
2023-02-04,TikTok,"Commandez avant midi, livraison le lendemain !",4990,118,253
2024-03-15,Instagram,"Commandez avant midi, livraison le lendemain !",1728,436,40
2024-06-18,Twitter,Rejoignez notre programme fidelite.,2351,194,182
2022-08-27,Instagram,"Commandez avant midi, livraison le lendemain !",3073,268,125
2023-01-03,Instagram,Rejoignez notre programme fidelite.,2093,269,102
2022-12-28,Twitter,Nouvelle collection disponible ! -20% ce weekend.,1503,383,254
2022-01-18,Twitter,Flash sale : 48h de promotions exceptionnelles !,3391,60,217
2022-06-15,TikTok,"Commandez avant midi, livraison le lendemain !",4014,3,29
2022-09-11,Facebook,Nouvelle collection disponible ! -20% ce weekend.,4379,381,79
2022-06-28,Instagram,Livraison gratuite sur toutes les commandes > 50 EUR.,3660,165,274
2023-02-16,Twitter,Livraison gratuite sur toutes les commandes > 50 EUR.,2465,115,235
2023-05-03,Twitter,Rejoignez notre programme fidelite.,993,442,76
2024-02-21,Instagram,Livraison gratuite sur toutes les commandes > 50 EUR.,59,39,20
2023-12-13,Facebook,Rejoignez notre programme fidelite.,268,156,162
2022-03-31,TikTok,Paiement en 3 fois sans frais sur nos smartphones.,3871,241,281
2023-06-20,Instagram,Livraison gratuite sur toutes les commandes > 50 EUR.,2346,447,159
2024-05-21,Twitter,Paiement en 3 fois sans frais sur nos smartphones.,4436,128,168
2024-03-13,Facebook,Livraison gratuite sur toutes les commandes > 50 EUR.,385,146,198
2022-03-06,Instagram,Flash sale : 48h de promotions exceptionnelles !,4922,6,225
2022-04-18,TikTok,Livraison gratuite sur toutes les commandes > 50 EUR.,2119,189,42
2024-04-08,TikTok,Flash sale : 48h de promotions exceptionnelles !,1151,356,235
2023-09-19,Twitter,Nouvelle collection disponible ! -20% ce weekend.,2509,434,166
2024-05-12,Twitter,Flash sale : 48h de promotions exceptionnelles !,4638,283,193
2023-05-07,Instagram,Nouvelle collection disponible ! -20% ce weekend.,4060,120,138
2022-11-04,LinkedIn,Livraison gratuite sur toutes les commandes > 50 EUR.,303,396,129
2024-01-06,Instagram,Paiement en 3 fois sans frais sur nos smartphones.,851,115,278
2022-03-20,Twitter,"Commandez avant midi, livraison le lendemain !",3462,495,277
2023-01-03,LinkedIn,Flash sale : 48h de promotions exceptionnelles !,4834,110,249
2023-06-30,Facebook,Nouvelle collection disponible ! -20% ce weekend.,2212,341,201
2024-06-15,TikTok,Nouvelle collection disponible ! -20% ce weekend.,2489,314,171
2023-03-08,Instagram,Flash sale : 48h de promotions exceptionnelles !,824,149,126
2024-03-28,Facebook,Paiement en 3 fois sans frais sur nos smartphones.,4630,418,292
2024-06-05,LinkedIn,Livraison gratuite sur toutes les commandes > 50 EUR.,114,50,74
2022-11-13,Instagram,"Commandez avant midi, livraison le lendemain !",1940,345,282
2024-01-22,Twitter,"Commandez avant midi, livraison le lendemain !",1317,9,264
2022-07-13,TikTok,Nouvelle collection disponible ! -20% ce weekend.,3232,349,145
2022-03-11,Twitter,Livraison gratuite sur toutes les commandes > 50 EUR.,473,105,283
2023-11-01,Twitter,"Commandez avant midi, livraison le lendemain !",3950,100,277
2023-03-08,Twitter,Paiement en 3 fois sans frais sur nos smartphones.,1481,99,145
2024-03-01,Twitter,Flash sale : 48h de promotions exceptionnelles !,973,315,23
2023-10-18,LinkedIn,Paiement en 3 fois sans frais sur nos smartphones.,1070,470,102
2023-06-07,Instagram,Paiement en 3 fois sans frais sur nos smartphones.,3513,392,237
2024-02-11,Twitter,"Commandez avant midi, livraison le lendemain !",1784,77,75
2022-11-21,Instagram,Rejoignez notre programme fidelite.,4541,48,30
2023-03-21,Twitter,Flash sale : 48h de promotions exceptionnelles !,3503,119,169
2023-07-10,TikTok,"Commandez avant midi, livraison le lendemain !",567,250,6
2024-06-16,Facebook,"Commandez avant midi, livraison le lendemain !",3096,138,125
2022-05-18,Instagram,Rejoignez notre programme fidelite.,1439,289,30
2024-06-12,Instagram,"Commandez avant midi, livraison le lendemain !",1562,272,120
2022-02-14,Twitter,Livraison gratuite sur toutes les commandes > 50 EUR.,1855,416,102
2022-07-01,TikTok,"Commandez avant midi, livraison le lendemain !",1748,479,16
2022-02-10,Instagram,Nouvelle collection disponible ! -20% ce weekend.,1538,145,74
2022-01-20,LinkedIn,Livraison gratuite sur toutes les commandes > 50 EUR.,2701,324,287
2022-12-10,Instagram,Paiement en 3 fois sans frais sur nos smartphones.,415,46,149
2022-07-13,LinkedIn,Rejoignez notre programme fidelite.,3506,220,21
2022-01-14,Twitter,Rejoignez notre programme fidelite.,3007,383,118
2022-09-03,TikTok,Flash sale : 48h de promotions exceptionnelles !,3737,222,211
2023-02-02,LinkedIn,Rejoignez notre programme fidelite.,593,76,123
2024-06-29,Twitter,Rejoignez notre programme fidelite.,840,36,19
2022-01-24,Facebook,Flash sale : 48h de promotions exceptionnelles !,2082,28,260
2024-02-15,Instagram,Flash sale : 48h de promotions exceptionnelles !,3327,8,298
2023-04-23,Facebook,Nouvelle collection disponible ! -20% ce weekend.,2087,137,285
2022-11-05,Facebook,Rejoignez notre programme fidelite.,4703,109,269
2022-08-04,Twitter,Flash sale : 48h de promotions exceptionnelles !,152,153,198
2022-02-08,Instagram,"Commandez avant midi, livraison le lendemain !",802,458,284
2022-01-12,Facebook,"Commandez avant midi, livraison le lendemain !",887,267,174
2023-07-01,Facebook,Rejoignez notre programme fidelite.,3304,94,156
2024-01-06,LinkedIn,Flash sale : 48h de promotions exceptionnelles !,4367,414,56
2022-05-26,LinkedIn,"Commandez avant midi, livraison le lendemain !",4794,374,298
2023-06-23,Instagram,Paiement en 3 fois sans frais sur nos smartphones.,543,224,229
2022-01-22,Twitter,Paiement en 3 fois sans frais sur nos smartphones.,1928,365,128
2022-10-18,Facebook,"Commandez avant midi, livraison le lendemain !",632,493,112
2024-03-30,Facebook,Rejoignez notre programme fidelite.,915,113,111
2022-08-27,Instagram,Flash sale : 48h de promotions exceptionnelles !,645,265,228
2024-05-11,TikTok,"Commandez avant midi, livraison le lendemain !",2254,298,34
2022-03-06,Instagram,"Commandez avant midi, livraison le lendemain !",3982,173,72
2023-11-14,Instagram,Rejoignez notre programme fidelite.,4567,117,26
2022-11-21,LinkedIn,Flash sale : 48h de promotions exceptionnelles !,908,111,127
2023-09-03,Facebook,Livraison gratuite sur toutes les commandes > 50 EUR.,739,59,180
2023-07-15,LinkedIn,Rejoignez notre programme fidelite.,3137,407,253
2024-05-26,Twitter,"Commandez avant midi, livraison le lendemain !",3650,109,114
2022-05-03,LinkedIn,Paiement en 3 fois sans frais sur nos smartphones.,3054,283,167
2022-11-21,LinkedIn,Livraison gratuite sur toutes les commandes > 50 EUR.,1122,493,102
2023-10-18,TikTok,Livraison gratuite sur toutes les commandes > 50 EUR.,1830,352,93
2024-04-29,LinkedIn,Flash sale : 48h de promotions exceptionnelles !,1363,341,183
2022-07-12,LinkedIn,Paiement en 3 fois sans frais sur nos smartphones.,501,228,167
2023-07-31,Twitter,"Commandez avant midi, livraison le lendemain !",2870,290,96
2022-07-24,Facebook,Flash sale : 48h de promotions exceptionnelles !,1448,435,130
2024-05-26,Instagram,Nouvelle collection disponible ! -20% ce weekend.,2825,213,12
2023-05-22,Facebook,Livraison gratuite sur toutes les commandes > 50 EUR.,3360,191,293
2022-02-18,Facebook,Paiement en 3 fois sans frais sur nos smartphones.,2853,416,102
2022-09-07,TikTok,"Commandez avant midi, livraison le lendemain !",3448,399,34
2022-06-07,TikTok,Flash sale : 48h de promotions exceptionnelles !,1419,129,161
2022-08-17,TikTok,Livraison gratuite sur toutes les commandes > 50 EUR.,283,341,263
2022-01-16,Twitter,Rejoignez notre programme fidelite.,1179,442,245
2022-12-10,LinkedIn,Rejoignez notre programme fidelite.,733,294,294
2022-12-04,TikTok,Livraison gratuite sur toutes les commandes > 50 EUR.,51,61,171
2024-06-06,Facebook,"Commandez avant midi, livraison le lendemain !",298,417,36
2024-05-29,LinkedIn,Livraison gratuite sur toutes les commandes > 50 EUR.,3765,156,70
2023-10-31,Instagram,Nouvelle collection disponible ! -20% ce weekend.,4977,120,164
2024-01-02,LinkedIn,Flash sale : 48h de promotions exceptionnelles !,2873,381,89
2023-01-13,Instagram,Livraison gratuite sur toutes les commandes > 50 EUR.,2174,426,142
2022-06-29,Twitter,"Commandez avant midi, livraison le lendemain !",4548,201,41
2023-12-23,TikTok,Flash sale : 48h de promotions exceptionnelles !,437,247,263
2023-11-14,LinkedIn,Flash sale : 48h de promotions exceptionnelles !,4832,301,269
2022-08-31,Facebook,Rejoignez notre programme fidelite.,1155,27,145
2023-08-29,Instagram,Paiement en 3 fois sans frais sur nos smartphones.,1351,79,63
2024-05-05,TikTok,"Commandez avant midi, livraison le lendemain !",2280,382,28
2023-04-10,Facebook,Flash sale : 48h de promotions exceptionnelles !,2171,258,71
2024-02-12,LinkedIn,Paiement en 3 fois sans frais sur nos smartphones.,444,142,66
2023-10-23,TikTok,Nouvelle collection disponible ! -20% ce weekend.,2900,345,81
2024-01-04,TikTok,Flash sale : 48h de promotions exceptionnelles !,3722,258,136
2024-01-25,LinkedIn,Paiement en 3 fois sans frais sur nos smartphones.,1081,359,296
2022-03-21,LinkedIn,Nouvelle collection disponible ! -20% ce weekend.,965,449,193
2023-11-18,TikTok,"Commandez avant midi, livraison le lendemain !",843,417,115
2023-09-16,Twitter,Livraison gratuite sur toutes les commandes > 50 EUR.,1749,165,157
2023-09-04,Facebook,Rejoignez notre programme fidelite.,1813,270,19
2022-10-12,LinkedIn,Paiement en 3 fois sans frais sur nos smartphones.,2002,74,152
2024-02-22,Facebook,Paiement en 3 fois sans frais sur nos smartphones.,4615,486,261
2024-05-06,Twitter,Flash sale : 48h de promotions exceptionnelles !,4886,89,110
2022-01-27,Twitter,Livraison gratuite sur toutes les commandes > 50 EUR.,2446,365,23
2024-02-06,Twitter,Rejoignez notre programme fidelite.,2691,127,34
2022-09-07,Facebook,Flash sale : 48h de promotions exceptionnelles !,4525,484,245
2022-01-11,LinkedIn,Flash sale : 48h de promotions exceptionnelles !,42,104,116
2022-03-14,LinkedIn,"Commandez avant midi, livraison le lendemain !",4509,230,235
2023-12-22,Instagram,Livraison gratuite sur toutes les commandes > 50 EUR.,4772,56,61
2022-03-16,Instagram,Rejoignez notre programme fidelite.,1496,27,117
2024-03-28,TikTok,Flash sale : 48h de promotions exceptionnelles !,3891,309,293
2024-01-03,Instagram,Flash sale : 48h de promotions exceptionnelles !,4569,348,255
2022-12-17,Instagram,"Commandez avant midi, livraison le lendemain !",1326,415,217
2022-11-15,Instagram,Livraison gratuite sur toutes les commandes > 50 EUR.,2482,100,140
2022-01-04,Instagram,Flash sale : 48h de promotions exceptionnelles !,1726,387,183
2023-08-01,Facebook,"Commandez avant midi, livraison le lendemain !",1049,469,155
2023-10-26,LinkedIn,Rejoignez notre programme fidelite.,1289,162,291
2024-05-20,Twitter,"Commandez avant midi, livraison le lendemain !",1768,223,92
