review_id,customer_id,product_id,rating,review_text,date_review,sentiment
REV00044,CUS00098,PRD023,3,"Service standard, produit dans la moyenne.",2022-05-14,neutre
REV00045,CUS02259,PRD021,2,"Mauvaise qualite, je regrette mon achat.",2022-05-18,negatif
REV00046,CUS01290,PRD004,5,Tres bonne experience d'achat.,2023-06-04,positif
REV00047,CUS02610,PRD027,1,"Service client inexistant, probleme non resolu.",2022-03-19,negatif
REV00048,CUS01231,PRD025,5,Tres bonne experience d'achat.,2022-03-30,positif
REV00049,CUS02554,PRD019,2,Qualite tres inferieure aux photos.,2024-06-04,negatif
REV00050,CUS01525,PRD006,3,"Produit moyen, attendais mieux.",2022-08-15,neutre
REV00051,CUS01300,PRD001,4,Je suis ravi de cet achat.,2022-08-13,positif
REV00052,CUS01813,PRD025,5,"Produit conforme, livraison soignee.",2023-10-07,positif
REV00053,CUS02848,PRD022,4,"Parfait, correspond a la description.",2024-04-02,positif
REV00054,CUS02188,PRD018,3,Rien d'exceptionnel pour ce prix.,2024-03-31,neutre
REV00055,CUS00502,PRD022,3,"Produit moyen, attendais mieux.",2023-07-30,neutre
REV00056,CUS01710,PRD018,4,"Super produit, je recommande vivement.",2022-10-05,positif
REV00057,CUS01191,PRD013,5,"Produit fantastique, rapport qualite-prix excellent.",2022-11-14,positif
REV00058,CUS02069,PRD014,3,Conforme mais delai un peu long.,2023-10-29,neutre
REV00059,CUS01814,PRD019,5,"Produit fantastique, rapport qualite-prix excellent.",2023-03-20,positif
REV00060,CUS02412,PRD020,2,Produit ne correspond pas a la description.,2023-08-30,negatif
REV00061,CUS01791,PRD010,3,Conforme mais delai un peu long.,2023-04-09,neutre
REV00062,CUS00166,PRD004,4,Je suis ravi de cet achat.,2023-06-22,positif
REV00063,CUS01062,PRD017,3,"Produit moyen, attendais mieux.",2023-10-25,neutre
REV00064,CUS02223,PRD006,3,Rien d'exceptionnel pour ce prix.,2024-07-05,neutre
REV00065,CUS02295,PRD005,3,"Produit correct, sans plus.",2022-07-13,neutre
REV00066,CUS00908,PRD018,5,"Super produit, je recommande vivement.",2023-07-25,positif
REV00067,CUS00325,PRD012,4,"Super produit, je recommande vivement.",2022-07-29,positif
REV00068,CUS01020,PRD010,3,Rien d'exceptionnel pour ce prix.,2022-10-14,neutre
REV00069,CUS02834,PRD028,3,"Produit moyen, attendais mieux.",2023-11-18,neutre
REV00070,CUS00211,PRD001,5,"Excellent produit, livraison rapide !",2023-12-04,positif
REV00071,CUS01935,PRD014,5,"Tres satisfait, qualite au rendez-vous.",2024-06-17,positif
REV00072,CUS00015,PRD019,5,"Produit fantastique, rapport qualite-prix excellent.",2023-02-06,positif
REV00073,CUS02677,PRD019,5,Tres bonne experience d'achat.,2023-01-12,positif
REV00074,CUS01092,PRD010,4,Tres bonne experience d'achat.,2022-03-06,positif
REV00075,CUS00331,PRD015,5,"Produit fantastique, rapport qualite-prix excellent.",2023-02-17,positif
REV00076,CUS02357,PRD028,4,"Produit fantastique, rapport qualite-prix excellent.",2022-01-21,positif
REV00077,CUS00677,PRD017,5,Je suis ravi de cet achat.,2023-07-18,positif
REV00078,CUS02408,PRD006,4,"Tres satisfait, qualite au rendez-vous.",2024-06-13,positif
REV00079,CUS02809,PRD020,4,"Tres satisfait, qualite au rendez-vous.",2022-02-18,positif
REV00080,CUS01839,PRD008,4,"Parfait, correspond a la description.",2022-01-31,positif
REV00081,CUS01696,PRD022,4,"Excellent produit, livraison rapide !",2023-12-19,positif
REV00082,CUS02787,PRD019,2,Qualite tres inferieure aux photos.,2022-02-16,negatif
REV00083,CUS01722,PRD021,5,Tres bonne experience d'achat.,2022-05-02,positif
REV00084,CUS01715,PRD007,2,"Service client inexistant, probleme non resolu.",2024-01-26,negatif
REV00085,CUS02243,PRD006,4,Je suis ravi de cet achat.,2022-04-17,positif
REV00086,CUS01501,PRD026,4,"Parfait, correspond a la description.",2024-05-30,positif
REV00087,CUS02760,PRD025,5,"Excellent produit, livraison rapide !",2024-03-05,positif
REV00088,CUS02585,PRD025,4,"Excellent produit, livraison rapide !",2023-08-23,positif
REV00089,CUS02849,PRD010,4,Je suis ravi de cet achat.,2022-06-11,positif
REV00090,CUS00366,PRD005,2,"Mauvaise qualite, je regrette mon achat.",2023-09-23,negatif
REV00091,CUS01302,PRD022,5,"Super produit, je recommande vivement.",2023-06-19,positif
REV00092,CUS01789,PRD025,4,Tres bonne experience d'achat.,2022-05-15,positif
REV00093,CUS02070,PRD020,1,"Livraison tres en retard, emballage abime.",2024-06-22,negatif
REV00094,CUS00615,PRD026,1,"Livraison tres en retard, emballage abime.",2022-10-10,negatif
REV00095,CUS01395,PRD005,5,"Tres satisfait, qualite au rendez-vous.",2023-10-30,positif
REV00096,CUS01198,PRD003,4,Je suis ravi de cet achat.,2023-08-18,positif
REV00097,CUS01246,PRD019,4,"Excellent produit, livraison rapide !",2023-01-14,positif
REV00098,CUS02632,PRD018,4,"Super produit, je recommande vivement.",2023-07-04,positif
REV00099,CUS00023,PRD003,4,"Excellent produit, livraison rapide !",2023-01-19,positif
REV00100,CUS02395,PRD010,3,Conforme mais delai un peu long.,2023-08-17,neutre
REV00101,CUS02624,PRD022,4,"Tres satisfait, qualite au rendez-vous.",2023-06-19,positif
REV00102,CUS00658,PRD007,5,"Super produit, je recommande vivement.",2024-06-03,positif
REV00103,CUS00975,PRD003,4,"Excellent produit, livraison rapide !",2023-07-27,positif
REV00104,CUS00943,PRD025,5,Tres bonne experience d'achat.,2024-01-12,positif
REV00105,CUS01908,PRD003,5,"Tres satisfait, qualite au rendez-vous.",2023-08-06,positif
REV00106,CUS00432,PRD018,5,"Parfait, correspond a la description.",2022-05-12,positif
REV00107,CUS02954,PRD028,2,"Produit defectueux, retour complique.",2022-07-12,negatif
REV00108,CUS02127,PRD013,3,"Produit correct, sans plus.",2023-04-13,neutre
REV00109,CUS00011,PRD014,5,"Produit fantastique, rapport qualite-prix excellent.",2024-05-10,positif
REV00110,CUS01492,PRD006,4,Je suis ravi de cet achat.,2022-02-02,positif
REV00111,CUS01488,PRD024,4,"Produit conforme, livraison soignee.",2023-01-27,positif
REV00112,CUS01988,PRD029,4,"Parfait, correspond a la description.",2022-03-01,positif
REV00113,CUS01959,PRD025,5,Tres bonne experience d'achat.,2022-07-13,positif
REV00114,CUS01898,PRD029,5,"Tres satisfait, qualite au rendez-vous.",2022-05-31,positif
REV00115,CUS01146,PRD004,5,"Tres satisfait, qualite au rendez-vous.",2023-06-27,positif
REV00116,CUS01465,PRD021,4,"Excellent produit, livraison rapide !",2023-08-13,positif
REV00117,CUS00649,PRD029,5,Tres bonne experience d'achat.,2022-07-19,positif
REV00118,CUS00025,PRD006,4,"Produit conforme, livraison soignee.",2022-03-12,positif
REV00119,CUS02008,PRD002,4,"Produit fantastique, rapport qualite-prix excellent.",2023-01-06,positif
REV00120,CUS00327,PRD005,4,"Parfait, correspond a la description.",2022-02-26,positif
REV00121,CUS01570,PRD012,2,Qualite tres inferieure aux photos.,2022-02-07,negatif
REV00122,CUS00876,PRD008,2,"Mauvaise qualite, je regrette mon achat.",2022-03-08,negatif
REV00123,CUS01757,PRD025,3,"Produit moyen, attendais mieux.",2022-06-25,neutre
REV00124,CUS01001,PRD017,5,"Excellent produit, livraison rapide !",2023-01-24,positif
REV00125,CUS02078,PRD001,2,Qualite tres inferieure aux photos.,2024-07-01,negatif
REV00126,CUS00126,PRD029,4,"Produit conforme, livraison soignee.",2022-04-29,positif
REV00127,CUS01980,PRD009,4,"Produit fantastique, rapport qualite-prix excellent.",2023-09-24,positif
REV00128,CUS01868,PRD015,5,"Produit conforme, livraison soignee.",2022-04-15,positif
REV00129,CUS01067,PRD008,3,"Produit moyen, attendais mieux.",2024-02-22,neutre
REV00130,CUS01544,PRD005,5,"Super produit, je recommande vivement.",2023-10-27,positif
REV00131,CUS00416,PRD011,3,"Service standard, produit dans la moyenne.",2023-01-08,neutre
REV00132,CUS01142,PRD008,3,Rien d'exceptionnel pour ce prix.,2024-04-23,neutre
REV00133,CUS00634,PRD014,4,Tres bonne experience d'achat.,2023-11-09,positif
REV00134,CUS02589,PRD008,5,"Produit fantastique, rapport qualite-prix excellent.",2022-03-18,positif
REV00135,CUS01167,PRD017,5,"Produit fantastique, rapport qualite-prix excellent.",2023-06-29,positif
REV00136,CUS02918,PRD013,4,"Excellent produit, livraison rapide !",2023-10-06,positif
REV00137,CUS02641,PRD005,2,"Delai inacceptable, plus de 3 semaines.",2023-07-26,negatif
REV00138,CUS01533,PRD028,5,Je suis ravi de cet achat.,2022-11-24,positif
REV00139,CUS00288,PRD007,5,"Produit fantastique, rapport qualite-prix excellent.",2022-11-17,positif
REV00140,CUS01439,PRD014,3,"Produit moyen, attendais mieux.",2024-05-11,neutre
REV00141,CUS01230,PRD005,5,"Parfait, correspond a la description.",2022-09-28,positif
REV00142,CUS02834,PRD004,4,"Excellent produit, livraison rapide !",2023-03-24,positif
REV00143,CUS01017,PRD004,5,"Excellent produit, livraison rapide !",2022-08-29,positif
REV00144,CUS01580,PRD010,2,"Mauvaise qualite, je regrette mon achat.",2024-03-14,negatif
REV00145,CUS01554,PRD021,4,"Parfait, correspond a la description.",2022-05-23,positif
REV00146,CUS02288,PRD006,5,"Produit conforme, livraison soignee.",2023-04-14,positif
REV00147,CUS02269,PRD018,4,"Produit fantastique, rapport qualite-prix excellent.",2023-11-27,positif
REV00148,CUS00823,PRD008,2,"Mauvaise qualite, je regrette mon achat.",2022-08-05,negatif
REV00149,CUS00672,PRD019,3,"Service standard, produit dans la moyenne.",2022-08-04,neutre
REV00150,CUS00903,PRD012,5,"Produit conforme, livraison soignee.",2022-07-08,positif
REV00151,CUS01009,PRD011,4,"Super produit, je recommande vivement.",2023-08-09,positif
REV00152,CUS02920,PRD017,5,"Produit conforme, livraison soignee.",2022-12-05,positif
REV00153,CUS00203,PRD017,4,"Parfait, correspond a la description.",2023-03-06,positif
REV00154,CUS02808,PRD030,5,"Produit conforme, livraison soignee.",2023-03-05,positif
REV00155,CUS02683,PRD015,4,"Produit fantastique, rapport qualite-prix excellent.",2023-09-12,positif
REV00156,CUS02856,PRD010,4,"Produit conforme, livraison soignee.",2022-01-25,positif
REV00157,CUS02975,PRD029,4,"Tres satisfait, qualite au rendez-vous.",2022-03-25,positif
REV00158,CUS00219,PRD018,5,"Excellent produit, livraison rapide !",2022-07-04,positif
REV00159,CUS02622,PRD021,5,Tres bonne experience d'achat.,2023-03-20,positif
REV00160,CUS00195,PRD024,4,"Super produit, je recommande vivement.",2023-01-09,positif
REV00161,CUS01577,PRD024,4,"Tres satisfait, qualite au rendez-vous.",2023-11-25,positif
REV00162,CUS02800,PRD025,2,"Mauvaise qualite, je regrette mon achat.",2022-12-14,negatif
REV00163,CUS01483,PRD015,5,"Super produit, je recommande vivement.",2022-07-26,positif
REV00164,CUS00851,PRD009,3,"Produit correct, sans plus.",2023-03-11,neutre
REV00165,CUS01660,PRD007,4,"Super produit, je recommande vivement.",2024-06-15,positif
REV00166,CUS01023,PRD028,4,Je suis ravi de cet achat.,2022-06-11,positif
REV00167,CUS00468,PRD022,5,"Produit conforme, livraison soignee.",2023-02-18,positif
REV00168,CUS02798,PRD011,4,"Produit fantastique, rapport qualite-prix excellent.",2024-07-20,positif
REV00169,CUS01383,PRD021,3,Conforme mais delai un peu long.,2023-11-24,neutre
REV00170,CUS00637,PRD027,5,"Produit fantastique, rapport qualite-prix excellent.",2023-11-20,positif
REV00171,CUS01912,PRD015,4,Tres bonne experience d'achat.,2024-02-04,positif
REV00172,CUS02550,PRD004,5,Je suis ravi de cet achat.,2023-01-22,positif
REV00173,CUS01970,PRD007,5,"Produit fantastique, rapport qualite-prix excellent.",2023-05-24,positif
REV00174,CUS01100,PRD003,3,"Produit correct, sans plus.",2023-01-26,neutre
REV00175,CUS02959,PRD024,5,"Produit fantastique, rapport qualite-prix excellent.",2023-01-17,positif
REV00176,CUS00296,PRD015,5,"Produit conforme, livraison soignee.",2022-10-12,positif
REV00177,CUS00211,PRD017,1,"Mauvaise qualite, je regrette mon achat.",2022-07-08,negatif
REV00178,CUS02487,PRD018,5,"Produit fantastique, rapport qualite-prix excellent.",2023-08-24,positif
REV00179,CUS01507,PRD005,5,"Tres satisfait, qualite au rendez-vous.",2022-03-08,positif
REV00180,CUS00295,PRD030,4,"Super produit, je recommande vivement.",2022-11-24,positif
REV00181,CUS00688,PRD002,2,"Tres decu, le produit ne fonctionne pas.",2022-07-17,negatif
REV00182,CUS02710,PRD001,5,"Produit fantastique, rapport qualite-prix excellent.",2022-04-26,positif
REV00183,CUS02841,PRD030,5,"Tres satisfait, qualite au rendez-vous.",2022-03-15,positif
REV00184,CUS01519,PRD016,5,Je suis ravi de cet achat.,2023-01-06,positif
REV00185,CUS01549,PRD019,5,"Produit conforme, livraison soignee.",2022-05-29,positif
REV00186,CUS02021,PRD008,4,"Excellent produit, livraison rapide !",2023-03-02,positif
REV00187,CUS01158,PRD003,2,"Delai inacceptable, plus de 3 semaines.",2022-11-16,negatif
REV00188,CUS01779,PRD003,3,"Produit correct, sans plus.",2023-10-23,neutre
REV00189,CUS01503,PRD022,5,"Produit conforme, livraison soignee.",2023-02-21,positif
REV00190,CUS01044,PRD029,2,"Delai inacceptable, plus de 3 semaines.",2022-10-02,negatif
REV00191,CUS01199,PRD012,5,"Produit fantastique, rapport qualite-prix excellent.",2022-09-11,positif
REV00192,CUS01053,PRD003,4,"Produit fantastique, rapport qualite-prix excellent.",2023-03-06,positif
REV00193,CUS01160,PRD030,5,"Produit conforme, livraison soignee.",2023-12-17,positif
REV00194,CUS02756,PRD023,5,"Parfait, correspond a la description.",2023-02-22,positif
REV00195,CUS00464,PRD001,4,"Produit fantastique, rapport qualite-prix excellent.",2023-05-06,positif
REV00196,CUS00030,PRD006,5,"Excellent produit, livraison rapide !",2022-12-17,positif
REV00197,CUS01644,PRD014,5,"Parfait, correspond a la description.",2024-06-15,positif
REV00198,CUS01914,PRD014,5,"Excellent produit, livraison rapide !",2023-07-04,positif
REV00199,CUS02542,PRD009,5,"Excellent produit, livraison rapide !",2023-01-20,positif
REV00200,CUS00070,PRD003,4,"Excellent produit, livraison rapide !",2023-04-05,positif
REV00201,CUS00187,PRD017,5,"Parfait, correspond a la description.",2024-01-10,positif
REV00202,CUS00977,PRD026,5,"Parfait, correspond a la description.",2023-10-29,positif
REV00203,CUS01894,PRD005,3,"Produit correct, sans plus.",2022-12-26,neutre
REV00204,CUS01975,PRD029,5,"Produit fantastique, rapport qualite-prix excellent.",2023-01-11,positif
REV00205,CUS02520,PRD029,5,"Super produit, je recommande vivement.",2022-08-27,positif
REV00206,CUS02669,PRD018,4,Je suis ravi de cet achat.,2022-04-20,positif
REV00207,CUS01551,PRD019,3,"Produit correct, sans plus.",2024-03-15,neutre
REV00208,CUS01889,PRD030,5,Tres bonne experience d'achat.,2022-10-24,positif
REV00209,CUS00869,PRD006,4,Je suis ravi de cet achat.,2024-02-16,positif
REV00210,CUS01283,PRD014,4,"Produit conforme, livraison soignee.",2024-02-23,positif
REV00211,CUS02148,PRD018,3,Conforme mais delai un peu long.,2023-01-04,neutre
REV00212,CUS01860,PRD010,5,"Produit conforme, livraison soignee.",2022-08-09,positif
REV00213,CUS02225,PRD027,4,"Excellent produit, livraison rapide !",2023-01-05,positif
REV00214,CUS01586,PRD003,5,"Parfait, correspond a la description.",2022-11-30,positif
REV00215,CUS02914,PRD014,2,"Mauvaise qualite, je regrette mon achat.",2024-02-08,negatif
REV00216,CUS01233,PRD023,5,"Parfait, correspond a la description.",2024-07-09,positif
REV00217,CUS02534,PRD010,5,"Produit fantastique, rapport qualite-prix excellent.",2022-07-31,positif
REV00218,CUS00351,PRD011,5,"Tres satisfait, qualite au rendez-vous.",2022-11-06,positif
REV00219,CUS00216,PRD003,1,Qualite tres inferieure aux photos.,2024-01-23,negatif
REV00220,CUS01872,PRD028,5,"Parfait, correspond a la description.",2023-06-28,positif
REV00221,CUS02886,PRD025,1,"Tres decu, le produit ne fonctionne pas.",2022-03-13,negatif
REV00222,CUS00385,PRD021,5,"Tres satisfait, qualite au rendez-vous.",2022-12-18,positif
REV00223,CUS00712,PRD005,4,"Produit fantastique, rapport qualite-prix excellent.",2023-02-14,positif
REV00224,CUS00632,PRD013,4,"Super produit, je recommande vivement.",2023-08-30,positif
REV00225,CUS00741,PRD003,3,Conforme mais delai un peu long.,2023-04-17,neutre
REV00226,CUS00488,PRD001,5,"Parfait, correspond a la description.",2022-12-07,positif
REV00227,CUS02676,PRD014,3,"Service standard, produit dans la moyenne.",2024-03-28,neutre
REV00228,CUS01897,PRD024,2,"Service client inexistant, probleme non resolu.",2024-02-11,negatif
REV00229,CUS01961,PRD001,2,"Livraison tres en retard, emballage abime.",2023-02-03,negatif
REV00230,CUS01556,PRD008,5,"Tres satisfait, qualite au rendez-vous.",2022-04-24,positif
REV00231,CUS01868,PRD004,5,"Produit fantastique, rapport qualite-prix excellent.",2024-01-08,positif
REV00232,CUS00838,PRD014,5,"Produit conforme, livraison soignee.",2024-06-19,positif
REV00233,CUS01760,PRD013,5,Tres bonne experience d'achat.,2022-11-11,positif
REV00234,CUS02382,PRD010,3,"Produit correct, sans plus.",2023-09-15,neutre
REV00235,CUS01495,PRD006,5,"Parfait, correspond a la description.",2023-12-29,positif
REV00236,CUS02849,PRD024,1,Produit ne correspond pas a la description.,2023-06-28,negatif
REV00237,CUS02018,PRD023,4,"Super produit, je recommande vivement.",2022-10-06,positif
REV00238,CUS00932,PRD021,4,"Produit conforme, livraison soignee.",2022-10-28,positif
REV00239,CUS01338,PRD023,4,"Excellent produit, livraison rapide !",2022-10-17,positif
REV00240,CUS02530,PRD024,5,"Super produit, je recommande vivement.",2022-01-17,positif
REV00241,CUS02204,PRD003,4,Tres bonne experience d'achat.,2023-08-01,positif
REV00242,CUS01847,PRD029,5,Je suis ravi de cet achat.,2024-01-24,positif
REV00243,CUS02308,PRD010,3,Conforme mais delai un peu long.,2023-01-08,neutre
REV00244,CUS02090,PRD022,4,Je suis ravi de cet achat.,2023-03-26,positif
REV00245,CUS02798,PRD004,5,Tres bonne experience d'achat.,2022-07-18,positif
REV00246,CUS00582,PRD019,5,"Produit conforme, livraison soignee.",2024-06-25,positif
REV00247,CUS01449,PRD023,3,"Service standard, produit dans la moyenne.",2022-12-15,neutre
REV00248,CUS00768,PRD001,5,"Super produit, je recommande vivement.",2022-06-07,positif
REV00249,CUS02980,PRD024,3,Conforme mais delai un peu long.,2022-09-22,neutre
REV00250,CUS00600,PRD005,5,Tres bonne experience d'achat.,2022-10-02,positif
REV00251,CUS00288,PRD014,3,"Produit moyen, attendais mieux.",2022-05-29,neutre
REV00252,CUS02677,PRD018,3,"Produit moyen, attendais mieux.",2024-06-07,neutre
REV00253,CUS02025,PRD012,3,Conforme mais delai un peu long.,2022-07-31,neutre
REV00254,CUS02375,PRD008,5,Tres bonne experience d'achat.,2022-07-12,positif
REV00255,CUS01804,PRD030,3,Rien d'exceptionnel pour ce prix.,2022-01-22,neutre
REV00256,CUS02478,PRD029,4,"Super produit, je recommande vivement.",2023-09-02,positif
REV00257,CUS00640,PRD003,5,"Super produit, je recommande vivement.",2023-04-19,positif
REV00258,CUS00608,PRD002,5,Tres bonne experience d'achat.,2022-02-09,positif
REV00259,CUS00589,PRD006,4,Je suis ravi de cet achat.,2022-01-12,positif
REV00260,CUS00053,PRD030,4,"Excellent produit, livraison rapide !",2022-04-30,positif
REV00261,CUS02678,PRD016,4,"Tres satisfait, qualite au rendez-vous.",2022-07-17,positif
REV00262,CUS00371,PRD018,3,Conforme mais delai un peu long.,2023-02-16,neutre
REV00263,CUS00504,PRD028,3,Rien d'exceptionnel pour ce prix.,2023-12-10,neutre
REV00264,CUS00046,PRD008,3,"Service standard, produit dans la moyenne.",2022-09-26,neutre
REV00265,CUS00100,PRD012,4,"Excellent produit, livraison rapide !",2022-06-29,positif
REV00266,CUS01004,PRD009,5,"Excellent produit, livraison rapide !",2022-01-07,positif
REV00267,CUS00236,PRD025,4,"Parfait, correspond a la description.",2022-09-26,positif
REV00268,CUS00169,PRD005,2,"Mauvaise qualite, je regrette mon achat.",2023-12-17,negatif
REV00269,CUS01354,PRD019,1,"Produit defectueux, retour complique.",2023-08-25,negatif
REV00270,CUS01741,PRD001,4,"Excellent produit, livraison rapide !",2023-06-12,positif
REV00271,CUS00119,PRD014,4,"Super produit, je recommande vivement.",2022-10-22,positif
REV00272,CUS01991,PRD004,4,"Produit conforme, livraison soignee.",2022-04-09,positif
REV00273,CUS00003,PRD020,2,"Tres decu, le produit ne fonctionne pas.",2022-10-18,negatif
REV00274,CUS00389,PRD001,5,"Super produit, je recommande vivement.",2023-05-11,positif
REV00275,CUS00011,PRD012,5,"Tres satisfait, qualite au rendez-vous.",2023-05-13,positif
REV00276,CUS01405,PRD026,5,Tres bonne experience d'achat.,2023-10-29,positif
REV00277,CUS01047,PRD027,3,"Service standard, produit dans la moyenne.",2022-12-17,neutre
REV00278,CUS00644,PRD014,5,"Produit fantastique, rapport qualite-prix excellent.",2023-07-23,positif
REV00279,CUS02304,PRD026,5,"Parfait, correspond a la description.",2023-01-04,positif
REV00280,CUS02135,PRD026,5,"Produit conforme, livraison soignee.",2023-11-20,positif
REV00281,CUS01740,PRD025,4,Je suis ravi de cet achat.,2023-06-30,positif
REV00282,CUS00423,PRD030,3,Conforme mais delai un peu long.,2023-08-03,neutre
REV00283,CUS01309,PRD011,5,"Parfait, correspond a la description.",2024-03-20,positif
REV00284,CUS00239,PRD026,5,Tres bonne experience d'achat.,2024-06-23,positif
REV00285,CUS00767,PRD013,1,"Delai inacceptable, plus de 3 semaines.",2022-11-23,negatif
REV00286,CUS02906,PRD006,5,"Parfait, correspond a la description.",2023-05-27,positif
REV00287,CUS00061,PRD004,3,"Produit moyen, attendais mieux.",2023-08-25,neutre
REV00288,CUS00720,PRD014,3,Rien d'exceptionnel pour ce prix.,2023-05-04,neutre
REV00289,CUS02925,PRD015,4,"Produit conforme, livraison soignee.",2023-08-07,positif
REV00290,CUS01390,PRD012,4,Je suis ravi de cet achat.,2023-09-02,positif
REV00291,CUS00448,PRD014,5,"Produit conforme, livraison soignee.",2023-06-19,positif
REV00292,CUS00813,PRD007,5,"Produit conforme, livraison soignee.",2022-11-29,positif
REV00293,CUS02231,PRD017,4,Tres bonne experience d'achat.,2022-09-07,positif
REV00294,CUS02372,PRD019,5,Je suis ravi de cet achat.,2023-03-21,positif
REV00295,CUS00738,PRD004,3,"Service standard, produit dans la moyenne.",2023-12-04,neutre
REV00296,CUS00898,PRD012,5,"Tres satisfait, qualite au rendez-vous.",2022-12-11,positif
REV00297,CUS02404,PRD016,4,"Super produit, je recommande vivement.",2022-05-12,positif
REV00298,CUS01167,PRD029,1,"Livraison tres en retard, emballage abime.",2022-01-27,negatif
REV00299,CUS02309,PRD012,4,Je suis ravi de cet achat.,2022-03-05,positif
REV00300,CUS01289,PRD028,2,Produit ne correspond pas a la description.,2022-07-20,negatif
REV00301,CUS01232,PRD001,4,"Produit conforme, livraison soignee.",2023-07-05,positif
REV00302,CUS02340,PRD009,4,"Parfait, correspond a la description.",2024-04-15,positif
REV00303,CUS00827,PRD017,3,"Produit correct, sans plus.",2022-01-21,neutre
REV00304,CUS01740,PRD028,5,Tres bonne experience d'achat.,2022-11-30,positif
REV00305,CUS00248,PRD004,4,"Produit fantastique, rapport qualite-prix excellent.",2022-08-07,positif
REV00306,CUS00451,PRD019,1,"Livraison tres en retard, emballage abime.",2022-03-21,negatif
REV00307,CUS00659,PRD022,5,"Excellent produit, livraison rapide !",2024-01-14,positif
REV00308,CUS00471,PRD003,1,"Delai inacceptable, plus de 3 semaines.",2022-12-23,negatif
REV00309,CUS01672,PRD009,5,"Produit conforme, livraison soignee.",2022-05-03,positif
